# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52698.17273084875  0.01596064815  3.15201e-01  5.17825e+00  0.01696
52698.20360469134  0.01147569444  -1.13425e-01  3.41344e+00  0.05633
52698.23051441357  0.01155671296  9.28756e-01  2.59620e+00  0.10238
52698.25824589505  0.01244791667  -1.72541e+00  1.91642e+00  0.14685
52698.28488362653  0.01238425926  -8.74534e-01  1.66844e+00  0.18469
52698.31171233023  0.01239583333  -5.64731e-01  1.96641e+00  0.13834
52698.33772506171  0.01147569444  -5.21198e+00  2.51218e+00  0.10111
52698.36550862653  0.01245370370  3.05712e+00  2.94644e+00  0.07335
52698.39102367283  0.01127893519  -8.30398e-01  4.17634e+00  0.04045
52698.41817645060  0.01151041667  4.70742e+00  7.71531e+00  0.01256
52698.47148663579  0.01151041667  1.94496e+00  5.93938e+00  0.02161
52698.49865098764  0.01188078704  2.05967e+00  4.23734e+00  0.03950
52698.52295075616  0.00938657407  6.92066e-01  3.57612e+00  0.06023
52698.55186858023  0.01151041667  8.34456e-01  2.56433e+00  0.08717
52698.57851209875  0.01137152778  8.01053e-01  4.59347e+00  0.03580
52698.60609890430  0.01244212963  -2.84637e+00  4.98257e+00  0.02527
52698.63198432097  0.01155671296  2.69392e+00  7.38025e+00  0.01685
52698.65867413579  0.01147569444  -2.77325e+00  1.11536e+01  0.00840
52698.97990098764  0.01147569444  9.44636e+00  1.10355e+01  0.00917
52699.00670654319  0.01151041667  -2.54765e+00  7.36653e+00  0.01734
52699.03347737653  0.01151041667  1.27365e+01  5.27950e+00  0.02483
52699.06024820986  0.01151041667  -2.21242e-01  4.27975e+00  0.03699
52699.08684543208  0.01134837963  5.03161e+00  2.60479e+00  0.08690
52699.11356996912  0.01155671296  3.26149e+00  3.16969e+00  0.06055
52699.14030608023  0.01151041667  2.00677e+00  4.30512e+00  0.03973
52699.16710584875  0.01151620370  1.81557e+00  5.90160e+00  0.02190
52699.22146348764  0.01227430556  -4.98760e-01  7.61848e+00  0.01204
52699.24803756172  0.01234375000  -4.28786e+00  4.05298e+00  0.04039
52699.27384774690  0.01146412037  6.85935e+00  3.10448e+00  0.07369
52699.30076904319  0.01146412037  1.62600e-01  2.50948e+00  0.10139
52699.32853524690  0.01242476852  3.77663e+00  1.97970e+00  0.13813
52699.35541603393  0.01261574074  -1.77189e-01  1.68948e+00  0.18295
52699.38109311727  0.01149884259  2.17238e+00  2.04882e+00  0.14305
52699.40808385801  0.01155671296  3.21372e+00  2.62325e+00  0.10179
52699.43491256172  0.01155671296  7.18244e-01  3.42968e+00  0.05610
52699.46168339505  0.01149884259  1.24367e+01  6.21092e+00  0.01673
52699.48940330245  0.01239004630  2.58424e+00  3.36048e+00  0.05598
52699.53366256171  0.01155671296  5.02098e+00  2.61851e+00  0.10184
52699.56640561727  0.01742476852  2.99301e+00  1.63616e+00  0.14657
52699.59808385801  0.01244791667  -9.56812e-01  1.70374e+00  0.18343
52699.62483154319  0.01239004630  5.98312e+00  1.99254e+00  0.13713
52699.65088478394  0.01151041667  7.83776e+00  2.49525e+00  0.10513
52699.67852367282  0.01234375000  2.86877e-01  3.05020e+00  0.07248
52699.70453061727  0.01166087963  2.26882e+00  4.10349e+00  0.04085
52699.73127830245  0.01147569444  -1.92925e+00  7.47590e+00  0.01283
52699.78555492283  0.01245370370  2.50496e+00  5.81422e+00  0.02146
52699.81146348764  0.01155671296  8.48442e+00  4.30117e+00  0.03993
52699.87871464505  0.05202546296  4.55955e+00  1.50589e+00  0.06191
52699.96195538578  0.03074074074  4.55756e+00  1.94701e+00  0.06155
52700.30297969134  0.01147569444  -1.32950e+01  1.09451e+01  0.00925
52700.33060700616  0.01234375000  -1.15702e+01  7.27629e+00  0.01661
52710.30574589505  0.01243634259  -1.06243e+00  1.67802e+00  0.15168
52710.33370885801  0.01252893519  2.03418e+00  1.15451e+00  0.31682
52710.36147506171  0.01240162037  4.51216e+00  1.18595e+00  0.32500
52710.38937436727  0.01245370370  -9.32037e-01  1.57389e+00  0.18833
52710.43568223764  0.01262731481  9.03231e-01  2.88137e+00  0.06269
52718.47627830246  0.01510995370  -1.88134e+01  1.29046e+01  0.00585
52719.12308385801  0.01355902778  3.90238e+00  6.48439e+00  0.01568
52719.14962320986  0.00919560185  2.05160e+01  1.02403e+01  0.00929
52719.21670075616  0.01016203704  4.55894e+00  8.80514e+00  0.01471
